"price","year","age_years","listed_date","mileage","make_name","model_name","trim_name","body_type","transmission","fuel_type","wheel_system","engine_disp_l","cylinders_num","engine_type_std","fleet","frame_damaged","has_accidents","fleet_unknown","frame_damaged_unknown","has_accidents_unknown","disp_missing","etype_missing"
"32195.0","2019.0","0.0","2019-06-20","19.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"81295.0","2020.0","0.0","2020-08-27","5.0","Land Rover","Range Rover Velar","P380 R-Dynamic HSE AWD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"58975.0","2020.0","0.0","2020-08-15","8.0","Land Rover","Range Rover Evoque","P250 First Edition AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"15939.0","2017.0","3.0","2020-08-22","30843.0","Hyundai","Tucson","2.0L SE AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"23723.0","2017.0","3.0","2020-07-14","24771.0","Chevrolet","Traverse","1LT AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"23500.0","2017.0","3.0","2020-07-09","24584.0","BMW","2 Series","230i xDrive Coupe AWD","Coupe","A","Gasoline","AWD","2.0","4.0","I4","False","False","True","False","False","False","False","False"
"21500.0","2015.0","5.0","2020-09-02","59754.0","Jeep","Grand Cherokee","Limited 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"19500.0","2017.0","3.0","2020-07-12","32130.0","Chrysler","Pacifica","Touring L FWD","Minivan","A","Gasoline","FWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"11500.0","2014.0","6.0","2020-08-11","49531.0","Nissan","Rogue","SV AWD","SUV / Crossover","CVT","Gasoline","AWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"37924.0","2018.0","2.0","2020-01-10","38003.0","Chevrolet","Suburban","1500 LT 4WD","SUV / Crossover","A","Gasoline","4WD","5.3","8.0","V8","True","False","False","False","False","False","False","False"
"10500.0","2016.0","4.0","2020-07-19","81834.0","Jeep","Compass","High Altitude Edition 4WD","SUV / Crossover","A","Gasoline","4WD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"32195.0","2019.0","0.0","2019-06-20","26.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"59808.0","2020.0","0.0","2020-01-12","40.0","Land Rover","Range Rover Evoque","P250 First Edition AWD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"18200.0","2019.0","1.0","2020-08-05","14252.0","Jeep","Renegade","Sport 4WD","SUV / Crossover","A","Gasoline","4WD","1.3","4.0","I4","False","False","True","False","False","False","False","False"
"22759.0","2017.0","3.0","2020-06-05","16626.0","Chevrolet","Camaro","1LT Coupe RWD","Coupe","M","Gasoline","RWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"8000.0","2014.0","6.0","2020-09-03","68344.0","Chevrolet","Cruze","1LT Sedan FWD","Sedan","A","Gasoline","FWD","1.4","4.0","I4","False","False","True","False","False","False","False","False"
"15724.0","2018.0","2.0","2020-06-25","4580.0","Chevrolet","Trax","LT FWD","SUV / Crossover","A","Gasoline","FWD","1.4","4.0","I4","False","False","False","False","False","False","False","False"
"36500.0","2018.0","2.0","2020-07-19","45968.0","Audi","SQ5","3.0T quattro Premium Plus AWD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"88235.0","2020.0","0.0","2020-08-20","14.0","Land Rover","Range Rover Sport","V6 HST 4WD","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","I6","False","False","False","False","False","False","False","False"
"90430.0","2020.0","0.0","2020-09-04","10.0","Land Rover","Range Rover Sport","Hybrid Plug-in HSE 4WD","SUV / Crossover","A","Gasoline","AWD","2.0","4.0","I4","False","False","False","False","False","False","False","False"
"14824.0","2017.0","3.0","2020-08-13","38097.0","Chevrolet","Cruze","Premier Hatchback FWD","Hatchback","A","Gasoline","FWD","1.4","4.0","I4","False","False","False","False","False","False","False","False"
"32195.0","2019.0","0.0","2019-06-20","147.0","Mazda","MAZDA3","Premium Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"17439.0","2019.0","1.0","2020-07-29","26818.0","Chevrolet","Equinox","1.5T LT FWD","SUV / Crossover","A","Gasoline","FWD","1.5","4.0","I4","False","False","False","False","False","False","False","False"
