make_name,body_type,n,MAE,RMSE,rMAPE
Dodge,Sedan,4760,1839.9277166562774,2656.6636700446966,0.08351957243876111
Buick,Coupe,8,1776.0774299229884,2592.5718343715625,0.3225462764284073
Nissan,Hatchback,1206,1691.493415309712,2579.126829585449,0.09541426283158533
Jeep,SUV / Crossover,52534,1872.1098118169855,2575.7306761219725,0.07170450957344966
Pontiac,Coupe,184,1698.1921755254298,2555.5020706716964,0.178468410177018
GMC,SUV / Crossover,17262,1814.7067252769982,2555.0283097677875,0.06999313285008688
Dodge,SUV / Crossover,8683,1793.9295812028085,2522.7658747021105,0.07663953161607293
Chrysler,SUV / Crossover,235,1759.843157958905,2521.486802086144,0.09612263094163234
Buick,SUV / Crossover,18139,1915.097037166251,2495.7803483875905,0.07065914953442277
Daewoo,Sedan,1,2487.5391638248875,2487.5391638248875,0.2760864776720186
Ford,SUV / Crossover,56595,1822.8624822033719,2469.3401140625674,0.07067262319394392
INFINITI,SUV / Crossover,4818,1759.312561608561,2465.57197479792,0.05510062903655087
Chevrolet,SUV / Crossover,50232,1854.0569259459787,2460.7911416344923,0.07797940592804165
Audi,Sedan,5684,1664.5374634154875,2450.7951110705467,0.05700097313658571
Lexus,SUV / Crossover,6839,1766.2776253112065,2431.8821360025754,0.0553752182728403
Lexus,Sedan,4969,1692.244225738506,2423.3861006217944,0.06705795692909289
Lincoln,Sedan,4502,1734.5084410590491,2411.987175011513,0.06506785164920213
smart,,9,1614.377375659805,2410.9415128480996,0.0962709250291425
Lincoln,Pickup Truck,23,1621.3707703148298,2393.4449855570074,0.14257308085275272
smart,Convertible,18,1575.742064547077,2353.193103041517,0.1983705392811586
INFINITI,Convertible,22,1934.8128039693531,2332.9204703369837,0.12870509311668268
Saab,SUV / Crossover,25,1436.1956871103105,2322.0160541961186,0.15969849801981847
Hyundai,Van,2,2279.6412371640668,2321.0624209811863,0.5065219556629479
Oldsmobile,Convertible,4,1680.9721649970859,2316.5441107201054,0.15567796942695683
Toyota,Coupe,210,1622.765452259505,2300.383381501724,0.11260663297915317
FIAT,Convertible,154,1722.1680292691526,2285.8902223585455,0.10378921919622983
Audi,SUV / Crossover,5788,1532.0618841494575,2257.4710322137707,0.04155144243351241
INFINITI,Sedan,2328,1594.1104948164327,2255.8742251383396,0.07576220983432441
Pontiac,Convertible,88,1585.2956792936357,2254.2366606330897,0.15713292004418303
Toyota,Pickup Truck,6896,1632.5219379057767,2235.1609283332145,0.05877691237569372
INFINITI,Coupe,418,1605.9839443126148,2222.730173739014,0.0596227585858591
Dodge,Hatchback,210,989.7873617388494,2178.5559796030952,0.16518184657153795
MINI,Wagon,425,1628.0835870938256,2143.553503357233,0.07636264337268223
Saturn,Convertible,22,1804.514422041,2122.255528117148,0.15043447531374257
Mitsubishi,Sedan,1013,1234.8330754596977,2102.0912768174917,0.09624279951223855
Suzuki,Pickup Truck,13,1642.4430791216323,2100.225968524507,0.12829361483829482
Mitsubishi,,108,1584.3605466677002,2018.9742058223794,0.06016277372152561
Buick,Minivan,12,1457.3628127818217,2014.0463970779556,0.2733195177632631
MINI,SUV / Crossover,896,1436.851675034745,2001.8668822750276,0.06199156241585898
FIAT,SUV / Crossover,312,1522.9397358579904,1972.7072589765135,0.07343393665928637
Saab,Convertible,39,1341.0415088942616,1965.3001296421362,0.19836918422501237
Mitsubishi,Convertible,30,1064.382698132024,1953.432827314662,0.15592025705681695
Chrysler,Sedan,3668,1342.2389908504297,1943.1165284528686,0.0864335313593073
Ford,Sedan,22281,1449.6495952419577,1929.393741924508,0.08493085815100318
Nissan,,15,1695.5428480301066,1920.7282882083641,0.08860749063476484
Volkswagen,Convertible,195,1280.2365535500555,1908.907886441659,0.12373306132636877
Toyota,Convertible,66,1292.6453494098494,1905.2571418114958,0.14415478607612495
Cadillac,Pickup Truck,44,1436.5080014709465,1895.6189751932814,0.08351102058479011
Nissan,SUV / Crossover,30931,1386.146310259379,1882.3289510645166,0.06453322934649816
Volkswagen,SUV / Crossover,7295,1488.2699392068296,1863.6860360545036,0.055062954470963384
Mitsubishi,SUV / Crossover,3950,1401.6606178784764,1854.879793243839,0.07389935247597497
